pc11_s_id,pc11_d_id,pc11_sd_id,year,post_ror_data_entry_block_any,post_ror_dist_softw_available_block_any,post_ror_aadhaar_link_block_any,post_mutation_computerized_block_any,post_digital_ror_issued_block_any,block_id,mean_night,count_night,sum_night,sd_name,frac_12,per_aggriculture,per_treecover,per_greencover,per_built
20,347,2519,2001,0,0,0,0,0,2241,0,1129,0,Kanha Chatti,0.616290330886841,61.6290330886841,9.74377536773682,72.332405090332,17.8998985290527
20,347,2519,2002,0,0,0,0,0,2241,0,1129,0,Kanha Chatti,0.754409492015839,75.4409492015839,10.4911623001099,73.8468017578125,15.6357898712158
20,347,2519,2003,0,0,0,0,0,2241,0,1129,0,Kanha Chatti,0.79600715637207,79.600715637207,8.90938949584961,74.4537734985352,16.6194820404053
20,347,2519,2004,0,0,0,0,0,2241,0,1129,0,Kanha Chatti,0.788617789745331,78.8617789745331,8.2537784576416,75.4735717773438,16.2425785064697
20,347,2519,2005,0,0,0,0,0,2241,0,1129,0,Kanha Chatti,0.788054525852203,78.8054525852203,7.89863634109497,76.8497314453125,15.1988983154297
20,347,2519,2006,0,0,0,0,0,2241,0,1129,0,Kanha Chatti,0.785243391990662,78.5243391990662,10.1918678283691,73.5508728027344,16.2287139892578
20,347,2519,2007,0,0,0,0,0,2241,0,1129,0,Kanha Chatti,0.746279537677765,74.6279537677765,10.6043739318848,72.0374298095703,17.3325424194336
20,347,2519,2008,0,0,0,0,0,2241,0,1129,0,Kanha Chatti,0.71117776632309,71.117776632309,7.97980928421021,71.7219467163086,20.2696971893311
20,347,2519,2009,0,0,0,0,0,2241,0,1129,0,Kanha Chatti,0.681521058082581,68.1521058082581,10.7368793487549,69.4480895996094,19.7976760864258
20,347,2519,2010,0,0,0,0,0,2241,0,1129,0,Kanha Chatti,0.694489538669586,69.4489538669586,4.75515174865723,77.8709335327149,17.3565578460693
20,347,2519,2011,0,0,0,0,0,2241,0,1129,0,Kanha Chatti,0.727612674236298,72.7612674236298,6.70806264877319,74.3730850219727,18.8903102874756
20,347,2519,2012,0,0,0,0,0,2241,0,1129,0,Kanha Chatti,0.711573362350464,71.1573362350464,8.55522918701172,76.8433685302734,14.6011962890625
20,347,2519,2013,0,0,0,0,0,2241,0,1129,0,Kanha Chatti,0.689790546894074,68.9790546894074,11.6150884628296,72.3934707641602,15.9425849914551
20,347,2519,2014,0,0,0,0,0,2241,0,1129,0,Kanha Chatti,0.684615910053253,68.4615910053253,14.20556640625,70.7931213378906,14.9727764129639
20,347,2519,2015,0,0,0,0,0,2241,0,1129,0,Kanha Chatti,0.736916244029999,73.6916244029999,10.7553510665894,72.6437530517578,16.5560760498047
20,347,2519,2016,0,0,0,0,0,2241,0,1129,0,Kanha Chatti,0.756785333156586,75.6785333156586,5.06541538238525,79.389404296875,15.5212621688843
20,347,2519,2017,0,0,0,0,0,2241,0,1129,0,Kanha Chatti,0.724565446376801,72.4565446376801,9.20078086853027,78.4824295043945,12.290545463562
