handle,old_rating,new_rating,change,rank,contest_id,contest_name
baoziiii1224,1982,2139,157,210,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
CepryH9,2154,2259,105,212,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
Waldi,2487,2502,15,213,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
dkhve,2288,2355,67,214,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
KumaTachiRen,2393,2431,38,215,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
adam01,2305,2367,62,215,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
Zimse2024,2439,2465,26,217,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
diandian2020,2420,2450,30,218,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
mhb2010,2251,2326,75,218,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
raincity,1441,1841,400,220,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
limanjun,2461,2480,19,221,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
kevinyang,2491,2501,10,222,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
MateiKing80,2145,2248,103,222,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
mtsd,2694,2654,-40,222,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
ikaurov,2550,2545,-5,225,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
PeruvianCartel,2295,2356,61,226,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
bro_jie,2350,2396,46,227,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
Ari,2349,2394,45,228,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
_Roxy,1909,2081,172,228,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
uwu,2585,2570,-15,230,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
Imdie,2196,2282,86,231,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
pooty,2428,2452,24,232,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
E_fireworks,2703,2658,-45,233,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
Agua_Podrida,2182,2271,89,234,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
Alex2184,2171,2263,92,234,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
prins,2285,2345,60,236,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
Temotoloraia,2690,2647,-43,237,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
siina_masiro,0,825,825,237,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
operator_,2212,2291,79,239,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
Zeyush,1947,2104,157,240,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
syx2567,2659,2622,-37,241,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
Andy_Lin,2389,2420,31,242,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
busamate,2341,2384,43,243,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
CHYYYY,2209,2287,78,243,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
Bluble,2193,2276,83,245,2039,"CodeTON Round 9 (Div. 1 + Div. 2, Rated, Prizes!)"
